Model,Omics,Subtype,R2,N
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.04545292542228474,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.5315076526956722,267
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5392342556478271,267
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.024350190112176984,311
UNI (SPARRA),Pathomics,Inflammatory,0.5461119245090488,311
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.5365417976971972,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.17768610268549323,94
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.576150150860355,94
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5848865296672501,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.29570399463885644,214
UNI (SPARRA),Pathomics,Wound Healing,0.45063161380049255,214
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,0.45169102025884444,214
