Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.31393288608440206,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.15159179783558463,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.25299032256333065,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.4632488305475079,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3250357283701659,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.2085050834031822,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.24290651967291677,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.49093891366145104,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.30403078072530365,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.26066881679949094,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.24741845845059018,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.523050959183865,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.02665359689581348,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.8371947284791346,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.014287174884282106,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.07871511224732586,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.037889880940095155,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.835272475146208,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.017657089316118646,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.07691484854975694,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.28590528520405534,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.252738167643767,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.192879546457016,214
